learning_path_name,course_name,course_level_str,tutorial_title
AI Engineer,Belajar Dasar AI,Dasar,Taksonomi AI
AI Engineer,Belajar Dasar AI,Dasar,[Story] Machine Learning: Harapan menjadi kenyataan
AI Engineer,Belajar Dasar AI,Dasar,Rangkuman Kelas
AI Engineer,Belajar Dasar AI,Dasar,Tipe-Tipe Machine Learning
AI Engineer,Belajar Dasar AI,Dasar,Forum Diskusi
AI Engineer,Belajar Dasar AI,Dasar,Kriteria Data untuk AI
AI Engineer,Belajar Dasar AI,Dasar,Latihan Membuat Model Deep Learning
AI Engineer,Belajar Dasar AI,Dasar,AI Workflow
AI Engineer,Belajar Dasar AI,Dasar,Rangkuman Pengantar Machine Learning
AI Engineer,Belajar Dasar AI,Dasar,Ujian Akhir
AI Engineer,Belajar Dasar AI,Dasar,Machine Learning Workflow
AI Engineer,Belajar Dasar AI,Dasar,Glosarium
AI Engineer,Belajar Dasar AI,Dasar,[Story] Apa yang Diperlukan untuk Membuat AI?
AI Engineer,Belajar Dasar AI,Dasar,Persetujuan Hak Cipta
AI Engineer,Belajar Dasar AI,Dasar,Proses di Balik Deep Learning
AI Engineer,Belajar Dasar AI,Dasar,[Story] Belajar Mempermudah Pekerjaan dengan AI
AI Engineer,Belajar Dasar AI,Dasar,Kuis Pengantar Machine Learning
AI Engineer,Belajar Dasar AI,Dasar,Daftar Referensi
AI Engineer,Belajar Dasar AI,Dasar,Infrastruktur Data di Industri
AI Engineer,Belajar Dasar AI,Dasar,Model Maintenance
AI Engineer,Belajar Dasar AI,Dasar,Rangkuman Data untuk AI
AI Engineer,Belajar Dasar AI,Dasar,Prasyarat Kemampuan
AI Engineer,Belajar Dasar AI,Dasar,[Story] Hidup Semakin Mudah dengan Bantuan Mesin
AI Engineer,Belajar Dasar AI,Dasar,Rangkuman Berkenalan dengan Artificial Intelligence (AI)
AI Engineer,Belajar Dasar AI,Dasar,Pengenalan Deep Learning
AI Engineer,Belajar Dasar AI,Dasar,Penerapan AI dalam Dunia Nyata
AI Engineer,Belajar Dasar AI,Dasar,Machine Learning di Industri
AI Engineer,Belajar Dasar AI,Dasar,Rangkuman Deep Learning untuk Semua Orang
AI Engineer,Belajar Dasar AI,Dasar,Kuis Data untuk AI
AI Engineer,Belajar Dasar AI,Dasar,Prasyarat Tools
AI Engineer,Belajar Dasar AI,Dasar,Kuis Berkenalan dengan Artificial Intelligence (AI)
AI Engineer,Belajar Dasar AI,Dasar,Mengenal Artificial Neural Network
AI Engineer,Belajar Dasar AI,Dasar,Pengenalan AI
AI Engineer,Belajar Dasar AI,Dasar,Batasan Machine Learning
AI Engineer,Belajar Dasar AI,Dasar,Kuis Deep Learning untuk Semua Orang
AI Engineer,Belajar Dasar AI,Dasar,Pengenalan Machine Learning
AI Engineer,Belajar Dasar AI,Dasar,Mekanisme Belajar
AI Engineer,Belajar Dasar AI,Dasar,Pengenalan Data
AI Engineer,Belajar Dasar AI,Dasar,Gambaran Penerapan Deep Learning di Industri
AI Engineer,Belajar Fundamental Deep Learning,Menengah,Glossarium
AI Engineer,Belajar Fundamental Deep Learning,Menengah,Pra-pemrosesan Data Gambar
AI Engineer,Belajar Fundamental Deep Learning,Menengah,Pengantar Deep Learning
AI Engineer,Belajar Fundamental Deep Learning,Menengah,Proyek Klasifikasi Gambar
AI Engineer,Belajar Fundamental Deep Learning,Menengah,Pengenalan TensorFlow.js
AI Engineer,Belajar Fundamental Deep Learning,Menengah,Ekstraksi Fitur
AI Engineer,Belajar Fundamental Deep Learning,Menengah,Rangkuman Reinforcement Learning
AI Engineer,Belajar Fundamental Deep Learning,Menengah,Pengumpulan Data
AI Engineer,Belajar Fundamental Deep Learning,Menengah,Kuis Berkenalan dengan Time Series
AI Engineer,Belajar Fundamental Deep Learning,Menengah,Plot Loss dan Akurasi dari Trained Model
AI Engineer,Belajar Fundamental Deep Learning,Menengah,Image Generation
AI Engineer,Belajar Fundamental Deep Learning,Menengah,Komponen-komponen Utama RL
AI Engineer,Belajar Fundamental Deep Learning,Menengah,Penggunaan Batch Loading
AI Engineer,Belajar Fundamental Deep Learning,Menengah,Policies and Value Functions
